Code,Long Name,Income Group,Region,Lending category,Other groups,Currency Unit,Latest population census,Latest household survey,Special Notes,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,2-alpha code,WB-2 code,Table Name,Short Name
PSE,West Bank and Gaza,Upper middle income,Middle East & North Africa,,,Israeli new shekel,2017,"Multiple Indicator Cluster Survey, 2019/20",National accounts data are provided in the US dollar.,2015,,Country uses the 2008 System of National Accounts methodology,,Annual estimation for 2011-2017,BPM6,,,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2016/17",,2010,2013,2018,PS,GZ,West Bank and Gaza,West Bank and Gaza
YEM,Republic of Yemen,Low income,Middle East & North Africa,IDA,,Yemeni rial,2004,"Demographic and Health Survey, 2013","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1990-2019. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",1990,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),Annual estimation for 2011-2013,BPM5 (Converted into BPM6 by IMF),Estimate,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2014",,,2012,2015,YE,RY,"Yemen, Rep.",Yemen
ZMB,Republic of Zambia,Lower middle income,Sub-Saharan Africa,IDA,HIPC,New Zambian kwacha,2020 (expected),"Demographic and Health Survey, 2018","National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha.",2010,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2015",,,1994,2018,ZM,ZM,Zambia,Zambia
ZWE,Republic of Zimbabwe,Lower middle income,Sub-Saharan Africa,Blend,,Zimbabwean Dollar,2012,"Multiple Indicator Cluster Survey, 2019","National Accounts data are reported in Zimbabwean Dollar (ZWL). Before 2017, one ZWL is set to be equal to one USD.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2017-2022. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2019,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2011/12",,,,2018,ZW,ZW,Zimbabwe,Zimbabwe
AFE,Africa Eastern and Southern,,,,,,,,"26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)",,,,,,,,,,,,,,,,ZH,ZH,Africa Eastern and Southern,Africa Eastern and Southern
AFW,Africa Western and Central,,,,,,,,"22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)",,,,,,,,,,,,,,,,ZI,ZI,Africa Western and Central,Africa Western and Central
ARB,Arab World,,,,,,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,,,,,,,,,,,,,,,,1A,1A,Arab World,Arab World
CSS,Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,S3,S3,Caribbean small states,Caribbean small states
CEB,Central Europe and the Baltics,,,,,,,,Central Europe and the Baltics aggregate.,,,,,,,,,,,,,,,,B8,B8,Central Europe and the Baltics,Central Europe and the Baltics
EAR,Early-demographic dividend,,,,,,,,Early-dividend countries are mostly lower-middle-income countries further along the fertility transition. Fertility rates have fallen below four births per woman and the working-age share of the population is likely rising considerably.,,,,,,,,,,,,,,,,V2,V2,Early-demographic dividend,Early-demographic dividend
EAS,East Asia & Pacific,,,,,,,,East Asia and Pacific regional aggregate (includes all income levels).,,,,,,,,,,,,,,,,Z4,Z4,East Asia & Pacific,East Asia & Pacific
EAP,East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,4E,4E,East Asia & Pacific (excluding high income),East Asia & Pacific (excluding high income)
TEA,East Asia & Pacific (IDA & IBRD),,,,,,,,East Asia & Pacific (IDA & IBRD countries) aggregate.,,,,,,,,,,,,,,,,T4,T4,East Asia & Pacific (IDA & IBRD),East Asia & Pacific (IDA & IBRD)
EMU,Euro area,,,,,,,,Euro area aggregate.,,,,,,,,,,Special Data Dissemination Standard (SDDS),,,,,,XC,XC,Euro area,Euro area
ECS,Europe & Central Asia,,,,,,,,Europe and Central Asia regional aggregate (includes all income levels).,,,,,,,,,,,,,,,,Z7,Z7,Europe & Central Asia,Europe & Central Asia
ECA,Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,7E,7E,Europe & Central Asia (excluding high income),Europe & Central Asia (excluding high income)
TEC,Europe & Central Asia (IDA & IBRD),,,,,,,,Europe & Central Asia (IDA & IBRD countries) aggregate.,,,,,,,,,,,,,,,,T7,T7,Europe & Central Asia (IDA & IBRD),Europe & Central Asia (IDA & IBRD)
EUU,European Union,,,,,,,,European Union aggregate.,,,,,,,,,,,,,,,,EU,EU,European Union,European Union
FCS,Fragile and conflict affected situations,,,,,,,,"Fragile and conflict-affected situations aggregate. Countries are distinguished based on the nature and severity of issues they face. The classification uses the following categories: - Countries with high levels of institutional and social fragility, identified based on publicly available indicators that measure the quality of policy and institutions and manifestations of fragility. - Countries affected by violent conflict, identified based on a threshold number of conflict-related deaths relative to the population. This category includes two sub-categories based on the intensity of violence: countries in high-intensity conflict and countries in medium-intensity conflict. For more information, please visit https://www.worldbank.org/en/topic/fragilityconflictviolence/brief/harmonized-list-of-fragile-situations.",,,,,,,,,,,,,,,,F1,F1,Fragile and conflict affected situations,Fragile and conflict affected situations
HPC,Heavily indebted poor countries (HIPC),,,,,,,,"The Heavily Indebted Poor Countries (HIPC) refer to countries that participated in the HIPC Initiative, launched in 1996 by the IMF and World Bank to reduce external debt burdens of the most heavily indebted poor countries at that time to sustainable levels. To date, the majority of the countries completed the program, receiving 76 billion in debt-service relief over time. For more details, visit https://www.imf.org/en/About/Factsheets/Sheets/2016/08/01/16/11/Debt-Relief-Under-the-Heavily-Indebted-Poor-Countries-Initiative.
Data are aggregates for HIPC.",,,,,,,,,,,,,,,,XE,XE,Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC)
HIC,High income,,,,,,,,"High income group aggregate. High-income economies are those in which 2022 GNI per capita was more than $13,845.",,,,,,,,,,,,,,,,XD,XD,High income,High income
IBD,IBRD only,,,,,,,,IBRD only group aggregate.,,,,,,,,,,,,,,,,XF,XF,IBRD only,IBRD only
IBT,IDA & IBRD total,,,,,,,,"IDA and IBRD total group aggregate (includes IDA only, IDA blend, and IBRD only).",,,,,,,,,,,,,,,,ZT,ZT,IDA & IBRD total,IDA & IBRD total
IDB,IDA blend,,,,,,,,IDA blend group aggregate.,,,,,,,,,,,,,,,,XH,XH,IDA blend,IDA blend
IDX,IDA only,,,,,,,,IDA only group aggregate.,,,,,,,,,,,,,,,,XI,XI,IDA only,IDA only
IDA,IDA total,,,,,,,,IDA total group aggregate (includes IDA only and IDA blend).,,,,,,,,,,,,,,,,XG,XG,IDA total,IDA total
LTE,Late-demographic dividend,,,,,,,,Late-dividend countries are mostly upper middle-income countries. Fertility rates are typically above replacement levels of 2.1 births per woman but continue to decline with shrinking working-age shares and rapid aging.,,,,,,,,,,,,,,,,V3,V3,Late-demographic dividend,Late-demographic dividend
LCN,Latin America & Caribbean,,,,,,,,,,,,,,,,,,,,,,,,ZJ,ZJ,Latin America & Caribbean,Latin America & Caribbean
LAC,Latin America & Caribbean (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,XJ,XJ,Latin America & Caribbean (excluding high income),Latin America & Caribbean (excluding high income)
TLA,Latin America & Caribbean (IDA & IBRD),,,,,,,,Latin America & the Caribbean (IDA & IBRD countries) aggregate.,,,,,,,,,,,,,,,,T2,T2,Latin America & Caribbean (IDA & IBRD),Latin America & Caribbean (IDA & IBRD)
LDC,Least developed countries: UN classification,,,,,,,,,,,,,,,,,,,,,,,,XL,XL,Least developed countries: UN classification,Least developed countries: UN classification
LMY,Low & middle income,,,,,,,,"Low and middle-income group aggregate. Low and middle-income economies are those in which 2022 GNI per capita was less than $13,845.",,,,,,,,,,,,,,,,XO,XO,Low & middle income,Low & middle income
LIC,Low income,,,,,,,,"Low income group aggregate. Low-income economies are those in which 2022 GNI per capita was $1,135 or less.",,,,,,,,,,,,,,,,XM,XM,Low income,Low income
LMC,Lower middle income,,,,,,,,"Lower middle income group aggregate. Lower-middle-income economies are those in which 2022 GNI per capita was between $1,136 and $4,465.",,,,,,,,,,,,,,,,XN,XN,Lower middle income,Lower middle income
MEA,Middle East & North Africa,,,,,,,,Middle East and North Africa regional aggregate (includes all income levels).,,,,,,,,,,,,,,,,ZQ,ZQ,Middle East & North Africa,Middle East & North Africa
MNA,Middle East & North Africa (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,XQ,XQ,Middle East & North Africa (excluding high income),Middle East & North Africa (excluding high income)
TMN,Middle East & North Africa (IDA & IBRD),,,,,,,,Middle East & North Africa (IDA & IBRD countries) aggregate.,,,,,,,,,,,,,,,,T3,T3,Middle East & North Africa (IDA & IBRD),Middle East & North Africa (IDA & IBRD)
MIC,Middle income,,,,,,,,"Middle income group aggregate. Middle-income economies are those in which 2022 GNI per capita was between $1,136 and $13,845.",,,,,,,,,,,,,,,,XP,XP,Middle income,Middle income
NAC,North America,,,,,,,,North America regional aggregate. There are no economies in North America classified as low or middle income.,,,,,,,,,,,,,,,,XU,XU,North America,North America
OED,OECD members,,,,,,,,,,,,,,,,,,,,,,,,OE,OE,OECD members,OECD members
OSS,Other small states,,,,,,,,,,,,,,,,,,,,,,,,S4,S4,Other small states,Other small states
PSS,Pacific island small states,,,,,,,,Pacific island small states aggregate.,,,,,,,,,,,,,,,,S2,S2,Pacific island small states,Pacific island small states
PST,Post-demographic dividend,,,,,,,,Post-dividend countries are mostly high-income countries where fertility has transitioned below replacement levels.,,,,,,,,,,,,,,,,V4,V4,Post-demographic dividend,Post-demographic dividend
PRE,Pre-demographic dividend,,,,,,,,"Pre-dividend countries are mostly low-income countries, lagging in key human development indicators and with current fertility levels above four births per woman. They face very rapid population growth.",,,,,,,,,,,,,,,,V1,V1,Pre-demographic dividend,Pre-demographic dividend
SST,Small states,,,,,,,,Small states (members of the Small States Forum) aggregate.,,,,,,,,,,,,,,,,S1,S1,Small states,Small states
SAS,South Asia,,,,,,,,,,,,,,,,,,,,,,,,8S,8S,South Asia,South Asia
TSA,South Asia (IDA & IBRD),,,,,,,,South Asia (IDA & IBRD countries) aggregate.,,,,,,,,,,,,,,,,T5,T5,South Asia (IDA & IBRD),South Asia (IDA & IBRD)
SSF,Sub-Saharan Africa,,,,,,,,Sub-Saharan Africa regional aggregate (includes all income levels).,,,,,,,,,,,,,,,,ZG,ZG,Sub-Saharan Africa,Sub-Saharan Africa
SSA,Sub-Saharan Africa (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,ZF,ZF,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa (excluding high income)
TSS,Sub-Saharan Africa (IDA & IBRD),,,,,,,,Sub-Saharan Africa (IDA & IBRD countries) aggregate.,,,,,,,,,,,,,,,,T6,T6,Sub-Saharan Africa (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD)
UMC,Upper middle income,,,,,,,,"Upper middle income group aggregate. Upper-middle-income economies are those in which 2022 GNI per capita was between $4,466 and $13,845.",,,,,,,,,,,,,,,,XT,XT,Upper middle income,Upper middle income
WLD,World,,,,,,,,,,,,,,,,,,,,,,,,1W,1W,World,World
