Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data
"TON","Tonga","Tonga","Kingdom of Tonga","TO","Tongan pa'anga","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).","East Asia & Pacific","Upper middle income","TO","2016/17",,"Value added at basic prices (VAB)","IDA",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual",,"Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2016","Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2009",,"2015","1981","2014",
"TSA","South Asia (IDA & IBRD)","South Asia (IDA & IBRD)","South Asia (IDA & IBRD)","T5",,"South Asia (IDA & IBRD countries) aggregate.",,,"T5",,,,,,,,,,,,,,,,,,,,,
"TSS","Sub-Saharan Africa (IDA & IBRD)","Sub-Saharan Africa (IDA & IBRD)","Sub-Saharan Africa (IDA & IBRD)","T6",,"Sub-Saharan Africa (IDA & IBRD countries) aggregate.",,,"T6",,,,,,,,,,,,,,,,,,,,,
"TTO","Trinidad and Tobago","Trinidad and Tobago","Republic of Trinidad and Tobago","TT","Trinidad and Tobago dollar",,"Latin America & Caribbean","High income","TT","2012",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system",,"Enhanced General Data Dissemination System (e-GDDS)","2011","Multiple Indicator Cluster Survey, 2011","Integrated household survey (IHS), 1992","Yes",,"2006","2015",
"TUN","Tunisia","Tunisia","Republic of Tunisia","TN","Tunisian dinar",,"Middle East & North Africa","Lower middle income","TN","2015",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 1993 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)","Actual","General trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2014","Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2015",,,"2010","2017",
"TUR","Türkiye","Türkiye","Republic of Türkiye","TR","New Turkish lira",,"Europe & Central Asia","Upper middle income","TR","Original chained constant price data are rescaled.","2009","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","Demographic and Health Survey, 2018","Expenditure survey/budget survey (ES/BS), 2016","Yes",,"2014","2018",
"TUV","Tuvalu","Tuvalu","Tuvalu","TV","Australian dollar",,"East Asia & Pacific","Upper middle income","TV","2016",,"Value added at basic prices (VAB)","IDA",,"Country uses the 1968 System of National Accounts methodology",,,"BPM6",,,,"Enhanced General Data Dissemination System (e-GDDS)","2012","Multiple Indicator Cluster Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2010",,,,"2008",
"TZA","Tanzania","Tanzania","United Republic of Tanzania","TZ","Tanzanian shilling",,"Sub-Saharan Africa","Lower middle income","TZ","2015",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2012","Malaria Indicator Survey, 2017","Expenditure survey/budget survey (ES/BS), 2011/12",,"2007-2008","2010","2018",
"UGA","Uganda","Uganda","Republic of Uganda","UG","Ugandan shilling","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 	

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1960-2009. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Sub-Saharan Africa","Low income","UG","2017",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2014","Malaria Indicator Survey, 2018/19; National Panel Survey 2018-2019","Integrated household survey (IHS), 2015/16",,"2008-2009","2000","2018",
"UKR","Ukraine","Ukraine","Ukraine","UA","Ukrainian hryvnia",,"Europe & Central Asia","Upper middle income","UA","Original chained constant price data are rescaled.","2016","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2020 (expected)","Multiple Indicator Cluster Survey, 2012","Integrated household survey (IHS), 2017","Yes",,"2014","2018",
"UMC","Upper middle income","Upper middle income","Upper middle income","XT",,"Upper middle income group aggregate. Upper-middle-income economies are those in which 2023 Atlas GNI per capita was between $4,516 and $14,005.",,,"XT",,,,,,,,,,,,,,,,,,,,,
"URY","Uruguay","Uruguay","Oriental Republic of Uruguay","UY","Uruguayan peso",,"Latin America & Caribbean","High income","UY","2016",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","Multiple Indicator Cluster Survey, 2012/13","Integrated household survey (IHS), 2017","Yes","2011","2011","2018",
"USA","United States","United States","United States of America","US","U.S. dollar",,"North America","High income","US","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2020 (expected)",,"Labor force survey (LFS), 2016","Yes","2012","2011","2018",
"UZB","Uzbekistan","Uzbekistan","Republic of Uzbekistan","UZ","Uzbek som",,"Europe & Central Asia","Lower middle income","UZ","Original chained constant price data are rescaled.","2010","Value added at basic prices (VAB)","Blend",,"Country uses the 2008 System of National Accounts methodology",,,,"Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","1989","Multiple Indicator Cluster Survey, 2006","Expenditure survey/budget survey (ES/BS), 2013","Yes",,,"2018",
"VCT","St. Vincent and the Grenadines","St. Vincent and the Grenadines","St. Vincent and the Grenadines","VC","East Caribbean dollar",,"Latin America & Caribbean","Upper middle income","VC","2018",,"Value added at basic prices (VAB)","Blend",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2012",,,"Yes",,,"2018",
"VEN","Venezuela","Venezuela, RB","República Bolivariana de Venezuela","VE","Venezuelan bolivar fuerte",,"Latin America & Caribbean",,"VE","1997",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6",,,,"Enhanced General Data Dissemination System (e-GDDS)","2011","Multiple Indicator Cluster Survey, 2000","Integrated household survey (IHS), 2015",,"2008","1998","2013",
"VGB","British Virgin Islands","British Virgin Islands","British Virgin Islands","VG","U.S. dollar",,"Latin America & Caribbean","High income","VG",,,,,,,,,,,,,,"2020 (expected)","STEPS Risk Factor Survey, 2010",,"Yes",,,,
"VIR","Virgin Islands","Virgin Islands (U.S.)","Virgin Islands of the United States","VI","U.S. dollar",,"Latin America & Caribbean","High income","VI","Original chained constant price data are rescaled.",,"Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,,,"General trade system",,,"2020 (expected)",,,"Yes","2012",,,
"VNM","Viet Nam","Viet Nam","Socialist Republic of Viet Nam","VN","Vietnamese dong",,"East Asia & Pacific","Lower middle income","VN","2010",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual","General trade system",,"Enhanced General Data Dissemination System (e-GDDS)","2019","Multiple Indicator Cluster Survey, 2020/21","Integrated household survey (IHS), 2016","Yes","2016","2013","2017",
"VUT","Vanuatu","Vanuatu","Republic of Vanuatu","VU","Vanuatu vatu",,"East Asia & Pacific","Lower middle income","VU","2006",,"Value added at basic prices (VAB)","IDA",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual",,"Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Multiple Indicator Cluster Survey, 2007/08","Integrated household survey (IHS), 2010",,"2007",,"2011",
"WLD","World","World","World","1W",,,,,"1W",,,,,,,,,,,,,,,,,,,,,
"WSM","Samoa","Samoa","Independent State of Samoa","WS","Samoan tala","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).","East Asia & Pacific","Lower middle income","WS","2013",,"Value added at basic prices (VAB)","IDA",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Multiple Indicator Cluster Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2013",,"2009",,"2018",
"XKX","Kosovo","Kosovo","Republic of Kosovo","XK","Euro",,"Europe & Central Asia","Upper middle income","XK","Original chained constant price data are rescaled.","2008","Value added at basic prices (VAB)","IDA",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual",,,"Enhanced General Data Dissemination System (e-GDDS)","2011","Multiple Indicator Cluster Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2015",,"2014",,,
"YEM","Yemen","Yemen, Rep.","Republic of Yemen","YE","Yemeni rial","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1990-2019. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Middle East & North Africa","Low income","RY","1990",,"Value added at basic prices (VAB)","IDA",,"Country uses the 1993 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)","Estimate","Special trade system",,"Enhanced General Data Dissemination System (e-GDDS)","2004","Demographic and Health Survey, 2013","Expenditure survey/budget survey (ES/BS), 2014",,,"2012","2015",
"ZAF","South Africa","South Africa","Republic of South Africa","ZA","South African rand","Fiscal year end: March 31; reporting period for national accounts data: CY.","Sub-Saharan Africa","Upper middle income","ZA","2015",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","Demographic and Health Survey, 2016","Expenditure survey/budget survey (ES/BS), 2014/15",,"2007","2010","2018",
"ZMB","Zambia","Zambia","Republic of Zambia","ZM","New Zambian kwacha","National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha.","Sub-Saharan Africa","Lower middle income","ZM","2010",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Demographic and Health Survey, 2018","Integrated household survey (IHS), 2015",,,"1994","2018",
"ZWE","Zimbabwe","Zimbabwe","Republic of Zimbabwe","ZW","Zimbabwean Dollar","National Accounts data are reported in Zimbabwean Dollar (ZWL). Before 2017, one ZWL is set to be equal to one USD.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2017-2023. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Sub-Saharan Africa","Lower middle income","ZW","2019",,"Value added at basic prices (VAB)","Blend",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2012","Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2011/12",,,,"2018",
